username,repo_name,stars,repo_url
public-apis,public-apis,156k,https://github.com/public-apis/public-apis
httpie,httpie,51.9k,https://github.com/httpie/httpie
neovim,neovim,46.9k,https://github.com/neovim/neovim
strapi,strapi,39.4k,https://github.com/strapi/strapi
tiangolo,fastapi,35.6k,https://github.com/tiangolo/fastapi
slatedocs,slate,33.1k,https://github.com/slatedocs/slate
hoppscotch,hoppscotch,31k,https://github.com/hoppscotch/hoppscotch
hasura,graphql-engine,23.9k,https://github.com/hasura/graphql-engine
YMFE,yapi,22.3k,https://github.com/YMFE/yapi
encode,django-rest-framework,21.8k,https://github.com/encode/django-rest-framework
littlecodersh,ItChat,21.7k,https://github.com/littlecodersh/ItChat
Binaryify,NeteaseCloudMusicApi,21.2k,https://github.com/Binaryify/NeteaseCloudMusicApi
ccxt,ccxt,20.9k,https://github.com/ccxt/ccxt
paularmstrong,normalizr,20.4k,https://github.com/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,19.9k,https://github.com/FallibleInc/security-guide-for-developers
Kong,insomnia,17.6k,https://github.com/Kong/insomnia
microsoft,api-guidelines,17.5k,https://github.com/microsoft/api-guidelines
shieldfy,API-Security-Checklist,15.9k,https://github.com/shieldfy/API-Security-Checklist
learn-anything,learn-anything,13.3k,https://github.com/learn-anything/learn-anything
youfou,wxpy,13k,https://github.com/youfou/wxpy
jsdoc,jsdoc,12.3k,https://github.com/jsdoc/jsdoc
BrainJS,brain.js,12.1k,https://github.com/BrainJS/brain.js
directus,directus,12k,https://github.com/directus/directus
ChainSafe,web3.js,11.2k,https://github.com/ChainSafe/web3.js
graphile,postgraphile,10.6k,https://github.com/graphile/postgraphile
micro,micro,10.4k,https://github.com/micro/micro
postmanlabs,httpbin,10.2k,https://github.com/postmanlabs/httpbin
go-chi,chi,10k,https://github.com/go-chi/chi
star7th,showdoc,9.8k,https://github.com/star7th/showdoc
OpenAPITools,openapi-generator,9.6k,https://github.com/OpenAPITools/openapi-generator
