username,repo_name,stars,repo_url
aspnetboilerplate,aspnetboilerplate,9.8k,https://github.com/aspnetboilerplate/aspnetboilerplate
dotnet,AspNetCore.Docs,9.7k,https://github.com/dotnet/AspNetCore.Docs
bitwarden,server,8.2k,https://github.com/bitwarden/server
ElectronNET,Electron.NET,5.9k,https://github.com/ElectronNET/Electron.NET
RicoSuter,NSwag,4.6k,https://github.com/RicoSuter/NSwag
thangchung,clean-code-dotnet,4.1k,https://github.com/thangchung/clean-code-dotnet
JimBobSquarePants,ImageProcessor,2.4k,https://github.com/JimBobSquarePants/ImageProcessor
smartstore,SmartStoreNET,2.3k,https://github.com/smartstore/SmartStoreNET
dotnet,aspnet-api-versioning,2.1k,https://github.com/dotnet/aspnet-api-versioning
loic-sharma,BaGet,1.8k,https://github.com/loic-sharma/BaGet
TrilonIO,aspnetcore-angular-universal,1.5k,https://github.com/TrilonIO/aspnetcore-angular-universal
mjebrahimi,Awesome-Microservices-NetCore,1.3k,https://github.com/mjebrahimi/Awesome-Microservices-NetCore
TrilonIO,aspnetcore-Vue-starter,1.2k,https://github.com/TrilonIO/aspnetcore-Vue-starter
lampo1024,DncZeus,1.2k,https://github.com/lampo1024/DncZeus
MarimerLLC,csla,946,https://github.com/MarimerLLC/csla
riganti,dotvvm,562,https://github.com/riganti/dotvvm
cornflourblue,aspnet-core-3-jwt-authentication-api,535,https://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
antonioCoco,SharPyShell,472,https://github.com/antonioCoco/SharPyShell
chsakell,mvcarchitecture,445,https://github.com/chsakell/mvcarchitecture
brthor,Gofer.NET,413,https://github.com/brthor/Gofer.NET
YAFNET,YAFNET,389,https://github.com/YAFNET/YAFNET
Maarten88,rrod,376,https://github.com/Maarten88/rrod
SapphireDb,SapphireDb,348,https://github.com/SapphireDb/SapphireDb
IvanJosipovic,BlazorTable,331,https://github.com/IvanJosipovic/BlazorTable
Taritsyn,WebMarkupMin,330,https://github.com/Taritsyn/WebMarkupMin
EEParker,aspnetcore-vueclimiddleware,287,https://github.com/EEParker/aspnetcore-vueclimiddleware
ALMMa,datatables.aspnet,283,https://github.com/ALMMa/datatables.aspnet
chsakell,aspnet-core-identity,278,https://github.com/chsakell/aspnet-core-identity
cornflourblue,aspnet-core-jwt-authentication-api,276,https://github.com/cornflourblue/aspnet-core-jwt-authentication-api
grandchamp,Identity.Dapper,250,https://github.com/grandchamp/Identity.Dapper
