username,repo_name,stars,repo_url
jwasham,coding-interview-university,191k,https://github.com/jwasham/coding-interview-university
CyC2018,CS-Notes,138k,https://github.com/CyC2018/CS-Notes
trekhleb,javascript-algorithms,118k,https://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,117k,https://github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,57.2k,https://github.com/yangshun/tech-interview-handbook
kdn251,interviews,53.8k,https://github.com/kdn251/interviews
azl397985856,leetcode,44k,https://github.com/azl397985856/leetcode
algorithm-visualizer,algorithm-visualizer,35.4k,https://github.com/algorithm-visualizer/algorithm-visualizer
crossoverJie,JCSprout,26.4k,https://github.com/crossoverJie/JCSprout
donnemartin,interactive-coding-challenges,23.6k,https://github.com/donnemartin/interactive-coding-challenges
huihut,interview,20.3k,https://github.com/huihut/interview
halfrost,LeetCode-Go,20k,https://github.com/halfrost/LeetCode-Go
keon,algorithms,19.7k,https://github.com/keon/algorithms
trekhleb,homemade-machine-learning,18.3k,https://github.com/trekhleb/homemade-machine-learning
mxgmn,WaveFunctionCollapse,16.8k,https://github.com/mxgmn/WaveFunctionCollapse
youngyangyang04,leetcode-master,15.6k,https://github.com/youngyangyang04/leetcode-master
TheAlgorithms,C-Plus-Plus,15.4k,https://github.com/TheAlgorithms/C-Plus-Plus
TheAlgorithms,Javascript,13.9k,https://github.com/TheAlgorithms/Javascript
AtsushiSakai,PythonRobotics,13.1k,https://github.com/AtsushiSakai/PythonRobotics
OpenGenus,cosmos,12.7k,https://github.com/OpenGenus/cosmos
greyireland,algorithm-pattern,12.6k,https://github.com/greyireland/algorithm-pattern
williamfiset,Algorithms,10.8k,https://github.com/williamfiset/Algorithms
apachecn,apachecn-algo-zh,10.4k,https://github.com/apachecn/apachecn-algo-zh
halfrost,Halfrost-Field,9.4k,https://github.com/halfrost/Halfrost-Field
lnishan,awesome-competitive-programming,8.8k,https://github.com/lnishan/awesome-competitive-programming
Blankj,awesome-java-leetcode,8.2k,https://github.com/Blankj/awesome-java-leetcode
jeffgerickson,algorithms,7.2k,https://github.com/jeffgerickson/algorithms
mgechev,javascript-algorithms,6.8k,https://github.com/mgechev/javascript-algorithms
LeetCode-OpenSource,vscode-leetcode,6.8k,https://github.com/LeetCode-OpenSource/vscode-leetcode
OlafenwaMoses,ImageAI,6.5k,https://github.com/OlafenwaMoses/ImageAI
