username,repo_name,stars,repo_url
bregman-arie,devops-exercises,13.9k,https://github.com/bregman-arie/devops-exercises
ramitsurana,awesome-kubernetes,11.9k,https://github.com/ramitsurana/awesome-kubernetes
microsoft,recommenders,11.1k,https://github.com/microsoft/recommenders
Azure,azure-quickstart-templates,10.8k,https://github.com/Azure/azure-quickstart-templates
pulumi,pulumi,9.8k,https://github.com/pulumi/pulumi
mozilla,sops,8.2k,https://github.com/mozilla/sops
microsoft,computervision-recipes,8k,https://github.com/microsoft/computervision-recipes
google,go-cloud,8k,https://github.com/google/go-cloud
caprover,caprover,7.5k,https://github.com/caprover/caprover
microsoft,azuredatastudio,6.5k,https://github.com/microsoft/azuredatastudio
node-formidable,formidable,6k,https://github.com/node-formidable/formidable
midwayjs,midway,4.7k,https://github.com/midwayjs/midway
thangchung,clean-code-dotnet,4.1k,https://github.com/thangchung/clean-code-dotnet
infracost,infracost,4k,https://github.com/infracost/infracost
cloud-custodian,cloud-custodian,3.8k,https://github.com/cloud-custodian/cloud-custodian
budtmo,docker-android,3.7k,https://github.com/budtmo/docker-android
nccgroup,ScoutSuite,3.5k,https://github.com/nccgroup/ScoutSuite
simov,grant,3.4k,https://github.com/simov/grant
aquasecurity,tfsec,3.3k,https://github.com/aquasecurity/tfsec
Qovery,engine,3.2k,https://github.com/Qovery/engine
bridgecrewio,checkov,3.1k,https://github.com/bridgecrewio/checkov
Azure,azure-sdk-for-net,2.9k,https://github.com/Azure/azure-sdk-for-net
hashicorp,terraform-provider-azurerm,2.8k,https://github.com/hashicorp/terraform-provider-azurerm
Azure,azure-powershell,2.7k,https://github.com/Azure/azure-powershell
mlabouardy,komiser,2.6k,https://github.com/mlabouardy/komiser
Azure,MachineLearningNotebooks,2.6k,https://github.com/Azure/MachineLearningNotebooks
APIs-guru,openapi-directory,2.5k,https://github.com/APIs-guru/openapi-directory
Azure,azure-cli,2.5k,https://github.com/Azure/azure-cli
microsoft,SynapseML,2.4k,https://github.com/microsoft/SynapseML
smartstore,SmartStoreNET,2.3k,https://github.com/smartstore/SmartStoreNET
