username,repo_name,stars,repo_url
babel,babel,39.6k,https://github.com/babel/babel
nylas,nylas-mail,24.6k,https://github.com/nylas/nylas-mail
kriasoft,react-starter-kit,20.9k,https://github.com/kriasoft/react-starter-kit
avajs,ava,19.3k,https://github.com/avajs/ava
electron-react-boilerplate,electron-react-boilerplate,18.2k,https://github.com/electron-react-boilerplate/electron-react-boilerplate
swc-project,swc,14.9k,https://github.com/swc-project/swc
SimulatedGREG,electron-vue,14.4k,https://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,13.9k,https://github.com/grab/front-end-guide
jamiebuilds,babel-handbook,10.3k,https://github.com/jamiebuilds/babel-handbook
grommet,grommet,7.5k,https://github.com/grommet/grommet
developit,htm,7.1k,https://github.com/developit/htm
angular-fullstack,generator-angular-fullstack,6.1k,https://github.com/angular-fullstack/generator-angular-fullstack
documentationjs,documentation,5.4k,https://github.com/documentationjs/documentation
insin,nwb,5.4k,https://github.com/insin/nwb
egoist,poi,5.3k,https://github.com/egoist/poi
thinkjs,thinkjs,5.2k,https://github.com/thinkjs/thinkjs
ben-rogerson,twin.macro,4.6k,https://github.com/ben-rogerson/twin.macro
babel,babel-loader,4.5k,https://github.com/babel/babel-loader
jaredpalmer,backpack,4.5k,https://github.com/jaredpalmer/backpack
transitive-bullshit,create-react-library,4.4k,https://github.com/transitive-bullshit/create-react-library
duxianwei520,react,4.3k,https://github.com/duxianwei520/react
babel,minify,4.3k,https://github.com/babel/minify
fkling,astexplorer,4.1k,https://github.com/fkling/astexplorer
kriasoft,graphql-starter,3.3k,https://github.com/kriasoft/graphql-starter
tleunen,babel-plugin-module-resolver,3.1k,https://github.com/tleunen/babel-plugin-module-resolver
andywer,webpack-blocks,3k,https://github.com/andywer/webpack-blocks
babel,babel-eslint,3k,https://github.com/babel/babel-eslint
kunalkapadia,express-mongoose-es6-rest-api,2.8k,https://github.com/kunalkapadia/express-mongoose-es6-rest-api
uidotdev,react-course,2.5k,https://github.com/uidotdev/react-course
Atyantik,react-pwa,2.4k,https://github.com/Atyantik/react-pwa
