username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,94.2k,https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,51.1k,https://github.com/nvm-sh/nvm
junegunn,fzf,38.9k,https://github.com/junegunn/fzf
dylanaraps,pure-bash-bible,27.7k,https://github.com/dylanaraps/pure-bash-bible
mathiasbynens,dotfiles,26.8k,https://github.com/mathiasbynens/dotfiles
koalaman,shellcheck,25.9k,https://github.com/koalaman/shellcheck
acmesh-official,acme.sh,23.4k,https://github.com/acmesh-official/acme.sh
alebcay,awesome-shell,22.1k,https://github.com/alebcay/awesome-shell
LeCoupa,awesome-cheatsheets,21.8k,https://github.com/LeCoupa/awesome-cheatsheets
starship,starship,18.5k,https://github.com/starship/starship
jaywcjlove,linux-command,16.7k,https://github.com/jaywcjlove/linux-command
Nyr,openvpn-install,13.7k,https://github.com/Nyr/openvpn-install
dylanaraps,neofetch,12.8k,https://github.com/dylanaraps/neofetch
powerline,powerline,12.8k,https://github.com/powerline/powerline
shelljs,shelljs,12.7k,https://github.com/shelljs/shelljs
Bash-it,bash-it,12.5k,https://github.com/Bash-it/bash-it
faressoft,terminalizer,11.9k,https://github.com/faressoft/terminalizer
jessfraz,dockerfiles,11.2k,https://github.com/jessfraz/dockerfiles
denisidoro,navi,9.7k,https://github.com/denisidoro/navi
codota,TabNine,8.6k,https://github.com/codota/TabNine
rgcr,m-cli,8.5k,https://github.com/rgcr/m-cli
alexanderepstein,Bash-Snippets,8.4k,https://github.com/alexanderepstein/Bash-Snippets
kanaka,mal,8.1k,https://github.com/kanaka/mal
direnv,direnv,7.8k,https://github.com/direnv/direnv
skywind3000,awesome-cheatsheets,7.5k,https://github.com/skywind3000/awesome-cheatsheets
angristan,openvpn-install,6.7k,https://github.com/angristan/openvpn-install
carlospolop,PEASS-ng,6.3k,https://github.com/carlospolop/PEASS-ng
Mayccoll,Gogh,6.2k,https://github.com/Mayccoll/Gogh
enquirer,enquirer,6.2k,https://github.com/enquirer/enquirer
webpro,awesome-dotfiles,6k,https://github.com/webpro/awesome-dotfiles
