username,repo_name,stars,repo_url
bitcoin,bitcoin,56.9k,https://github.com/bitcoin/bitcoin
ccxt,ccxt,20.9k,https://github.com/ccxt/ccxt
HelloZeroNet,ZeroNet,17k,https://github.com/HelloZeroNet/ZeroNet
freqtrade,freqtrade,11.7k,https://github.com/freqtrade/freqtrade
askmike,gekko,9.7k,https://github.com/askmike/gekko
bbfamily,abu,8.3k,https://github.com/bbfamily/abu
lbryio,lbry-sdk,7.1k,https://github.com/lbryio/lbry-sdk
dvf,blockchain,6.2k,https://github.com/dvf/blockchain
yeasy,blockchain_guide,5.7k,https://github.com/yeasy/blockchain_guide
butor,blackbird,5.4k,https://github.com/butor/blackbird
lightningnetwork,lnd,5.3k,https://github.com/lightningnetwork/lnd
spesmilo,electrum,5.1k,https://github.com/spesmilo/electrum
btcsuite,btcd,4.4k,https://github.com/btcsuite/btcd
bitcoinjs,bitcoinjs-lib,4.3k,https://github.com/bitcoinjs/bitcoinjs-lib
bitcoinj,bitcoinj,4.1k,https://github.com/bitcoinj/bitcoinj
bisq-network,bisq,3.7k,https://github.com/bisq-network/bisq
solana-labs,solana,3.7k,https://github.com/solana-labs/solana
michaelgrosner,tribeca,3.6k,https://github.com/michaelgrosner/tribeca
Scanate,EthList,3.5k,https://github.com/Scanate/EthList
RomelTorres,alpha_vantage,3.5k,https://github.com/RomelTorres/alpha_vantage
Zheaoli,awesome-coins,3.4k,https://github.com/Zheaoli/awesome-coins
CryptoSignal,Crypto-Signal,3.4k,https://github.com/CryptoSignal/Crypto-Signal
coinpride,CryptoList,3.3k,https://github.com/coinpride/CryptoList
bitpay,wallet,3.3k,https://github.com/bitpay/wallet
SqueezerIO,squeezer,3.2k,https://github.com/SqueezerIO/squeezer
Jeiwan,blockchain_go,3k,https://github.com/Jeiwan/blockchain_go
jesse-ai,jesse,3k,https://github.com/jesse-ai/jesse
btcpayserver,btcpayserver,2.9k,https://github.com/btcpayserver/btcpayserver
lbryio,lbrycrd,2.8k,https://github.com/lbryio/lbrycrd
miguelmota,cointop,2.6k,https://github.com/miguelmota/cointop
