username,repo_name,stars,repo_url
CyC2018,CS-Notes,138k,https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,55.6k,https://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,44k,https://github.com/azl397985856/leetcode
x64dbg,x64dbg,37.3k,https://github.com/x64dbg/x64dbg
fffaraz,awesome-cpp,33.2k,https://github.com/fffaraz/awesome-cpp
microsoft,calculator,22.7k,https://github.com/microsoft/calculator
CMU-Perceptual-Computing-Lab,openpose,21.9k,https://github.com/CMU-Perceptual-Computing-Lab/openpose
huihut,interview,20.3k,https://github.com/huihut/interview
yuzu-emu,yuzu,16.2k,https://github.com/yuzu-emu/yuzu
youngyangyang04,leetcode-master,15.6k,https://github.com/youngyangyang04/leetcode-master
TheAlgorithms,C-Plus-Plus,15.4k,https://github.com/TheAlgorithms/C-Plus-Plus
changkun,modern-cpp-tutorial,14.9k,https://github.com/changkun/modern-cpp-tutorial
microsoft,vcpkg,13.6k,https://github.com/microsoft/vcpkg
AnthonyCalandra,modern-cpp-features,12.6k,https://github.com/AnthonyCalandra/modern-cpp-features
facebook,infer,12.5k,https://github.com/facebook/infer
gabime,spdlog,12.5k,https://github.com/gabime/spdlog
Qv2ray,Qv2ray,12.4k,https://github.com/Qv2ray/Qv2ray
ethereum,solidity,11.8k,https://github.com/ethereum/solidity
CoatiSoftware,Sourcetrail,11.8k,https://github.com/CoatiSoftware/Sourcetrail
google,tink,11.6k,https://github.com/google/tink
ssloy,tinyrenderer,11.2k,https://github.com/ssloy/tinyrenderer
antlr,antlr4,10.6k,https://github.com/antlr/antlr4
SFTtech,openage,10.5k,https://github.com/SFTtech/openage
kyleneideck,BackgroundMusic,10.1k,https://github.com/kyleneideck/BackgroundMusic
OpenRCT2,OpenRCT2,9.9k,https://github.com/OpenRCT2/OpenRCT2
compiler-explorer,compiler-explorer,9.3k,https://github.com/compiler-explorer/compiler-explorer
hmemcpy,milewski-ctfp-pdf,8.7k,https://github.com/hmemcpy/milewski-ctfp-pdf
codota,TabNine,8.6k,https://github.com/codota/TabNine
nasa,fprime,8.4k,https://github.com/nasa/fprime
rigtorp,awesome-modern-cpp,8.3k,https://github.com/rigtorp/awesome-modern-cpp
