username,repo_name,stars,repo_url
electron,electron,96.6k,https://github.com/electron/electron
FiloSottile,mkcert,31.7k,https://github.com/FiloSottile/mkcert
microsoft,playwright,27.3k,https://github.com/microsoft/playwright
ovity,octotree,21.5k,https://github.com/ovity/octotree
segmentio,nightmare,19k,https://github.com/segmentio/nightmare
iamadamdev,bypass-paywalls-chrome,18.4k,https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,16.7k,https://github.com/jaywcjlove/linux-command
checkly,headless-recorder,13.5k,https://github.com/checkly/headless-recorder
prisma-archive,chromeless,13.2k,https://github.com/prisma-archive/chromeless
google,WebFundamentals,12.2k,https://github.com/google/WebFundamentals
casesandberg,react-color,10k,https://github.com/casesandberg/react-color
GoogleChrome,chrome-extensions-samples,8.8k,https://github.com/GoogleChrome/chrome-extensions-samples
uBlock-LLC,uBlock,8.1k,https://github.com/uBlock-LLC/uBlock
crimx,ext-saladict,7.8k,https://github.com/crimx/ext-saladict
chromedp,chromedp,6.7k,https://github.com/chromedp/chromedp
alvarcarto,url-to-pdf-api,6.5k,https://github.com/alvarcarto/url-to-pdf-api
kangvcar,InfoSpider,5.8k,https://github.com/kangvcar/InfoSpider
MetaMask,metamask-extension,5.5k,https://github.com/MetaMask/metamask-extension
yujiosaka,headless-chrome-crawler,5.1k,https://github.com/yujiosaka/headless-chrome-crawler
Kenshin,simpread,5k,https://github.com/Kenshin/simpread
MontFerret,ferret,4.6k,https://github.com/MontFerret/ferret
firefox-devtools,debugger,4.6k,https://github.com/firefox-devtools/debugger
burtonator,polar-bookshelf,4.4k,https://github.com/burtonator/polar-bookshelf
mjswensen,themer,4.3k,https://github.com/mjswensen/themer
nieweidong,fetool,4.3k,https://github.com/nieweidong/fetool
gildas-lormeau,SingleFile,4k,https://github.com/gildas-lormeau/SingleFile
brookhong,Surfingkeys,3.7k,https://github.com/brookhong/Surfingkeys
bilibili-helper,bilibili-helper-o,3.6k,https://github.com/bilibili-helper/bilibili-helper-o
moonD4rk,HackBrowserData,3.5k,https://github.com/moonD4rk/HackBrowserData
melonjs,melonJS,3.5k,https://github.com/melonjs/melonJS
