username,repo_name,stars,repo_url
ovity,octotree,21.5k,https://github.com/ovity/octotree
gitpod-io,gitpod,5k,https://github.com/gitpod-io/gitpod
danger,danger,4.6k,https://github.com/danger/danger
reviewdog,reviewdog,4.2k,https://github.com/reviewdog/reviewdog
danger,danger-js,3.9k,https://github.com/danger/danger-js
joho,awesome-code-review,3k,https://github.com/joho/awesome-code-review
houndci,hound,1.9k,https://github.com/houndci/hound
ajinabraham,nodejsscan,1.8k,https://github.com/ajinabraham/nodejsscan
mbj,mutant,1.7k,https://github.com/mbj/mutant
microsoft,vscode-pull-request-github,1.7k,https://github.com/microsoft/vscode-pull-request-github
crev-dev,cargo-crev,1.4k,https://github.com/crev-dev/cargo-crev
reviewboard,reviewboard,1.4k,https://github.com/reviewboard/reviewboard
bit4woo,python_sec,983,https://github.com/bit4woo/python_sec
ryanmcdermott,code-review-tips,965,https://github.com/ryanmcdermott/code-review-tips
code-review-checklists,java-concurrency,939,https://github.com/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,806,https://github.com/jiangsir404/Audit-Learning
TeamCodeStream,codestream,635,https://github.com/TeamCodeStream/codestream
enlightn,enlightn,521,https://github.com/enlightn/enlightn
uwolfer,gerrit-intellij-plugin,423,https://github.com/uwolfer/gerrit-intellij-plugin
palantir,policy-bot,405,https://github.com/palantir/policy-bot
bsamseth,cpp-project,389,https://github.com/bsamseth/cpp-project
mookid,diffr,371,https://github.com/mookid/diffr
sjparkinson,static-review,329,https://github.com/sjparkinson/static-review
dpnishant,raptor,323,https://github.com/dpnishant/raptor
mgreiler,code-review-checklist,318,https://github.com/mgreiler/code-review-checklist
burrito-brothers,shiba,281,https://github.com/burrito-brothers/shiba
charignon,github-review,243,https://github.com/charignon/github-review
src-d,lookout,143,https://github.com/src-d/lookout
uwolfer,gerrit-rest-java-client,137,https://github.com/uwolfer/gerrit-rest-java-client
thesp0nge,owasp-orizon,134,https://github.com/thesp0nge/owasp-orizon
