username,repo_name,stars,repo_url
httpie,httpie,51.9k,https://github.com/httpie/httpie
junegunn,fzf,38.9k,https://github.com/junegunn/fzf
sharkdp,bat,29.2k,https://github.com/sharkdp/bat
wagoodman,dive,27.4k,https://github.com/wagoodman/dive
BurntSushi,ripgrep,27.1k,https://github.com/BurntSushi/ripgrep
chubin,cheat.sh,26.8k,https://github.com/chubin/cheat.sh
sherlock-project,sherlock,26.6k,https://github.com/sherlock-project/sherlock
cli,cli,25.3k,https://github.com/cli/cli
angular,angular-cli,24.8k,https://github.com/angular/angular-cli
spf13,cobra,23.1k,https://github.com/spf13/cobra
alebcay,awesome-shell,22.1k,https://github.com/alebcay/awesome-shell
jesseduffield,lazygit,21k,https://github.com/jesseduffield/lazygit
google,python-fire,20k,https://github.com/google/python-fire
tqdm,tqdm,19.4k,https://github.com/tqdm/tqdm
avajs,ava,19.3k,https://github.com/avajs/ava
sharkdp,fd,18.8k,https://github.com/sharkdp/fd
vercel,pkg,18.7k,https://github.com/vercel/pkg
n8n-io,n8n,17.5k,https://github.com/n8n-io/n8n
chalk,chalk,17k,https://github.com/chalk/chalk
vadimdemedes,ink,16.7k,https://github.com/vadimdemedes/ink
svg,svgo,16.6k,https://github.com/svg/svgo
urfave,cli,16.5k,https://github.com/urfave/cli
ibraheemdev,modern-unix,16.2k,https://github.com/ibraheemdev/modern-unix
gpakosz,.tmux,14.9k,https://github.com/gpakosz/.tmux
FormidableLabs,webpack-dashboard,13.8k,https://github.com/FormidableLabs/webpack-dashboard
allinurl,goaccess,13.7k,https://github.com/allinurl/goaccess
infinitered,ignite,12.9k,https://github.com/infinitered/ignite
pomber,git-history,12.6k,https://github.com/pomber/git-history
jarun,nnn,12.2k,https://github.com/jarun/nnn
asdf-vm,asdf,11.7k,https://github.com/asdf-vm/asdf
