username,repo_name,stars,repo_url
localstack,localstack,34k,https://github.com/localstack/localstack
drone,drone,23.8k,https://github.com/drone/drone
jenkinsci,jenkins,17.8k,https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,12k,https://github.com/auchenberg/volkswagen
openshift,origin,8k,https://github.com/openshift/origin
gocd,gocd,6.2k,https://github.com/gocd/gocd
concourse,concourse,5.9k,https://github.com/concourse/concourse
buildbot,buildbot,4.7k,https://github.com/buildbot/buildbot
Strider-CD,strider,4.5k,https://github.com/Strider-CD/strider
theonedev,onedev,4.5k,https://github.com/theonedev/onedev
gaia-pipeline,gaia,4.5k,https://github.com/gaia-pipeline/gaia
jenkins-x,jx,4k,https://github.com/jenkins-x/jx
xcpretty,xcpretty,3.6k,https://github.com/xcpretty/xcpretty
hygieia,hygieia,3.6k,https://github.com/hygieia/hygieia
ovh,cds,3.6k,https://github.com/ovh/cds
cake-build,cake,3k,https://github.com/cake-build/cake
ligurio,awesome-ci,2.7k,https://github.com/ligurio/awesome-ci
werf,werf,2.6k,https://github.com/werf/werf
dancryer,PHPCI,2.4k,https://github.com/dancryer/PHPCI
tox-dev,tox,2.4k,https://github.com/tox-dev/tox
TheLartians,ModernCppStarter,2.1k,https://github.com/TheLartians/ModernCppStarter
dreamans,syncd,2k,https://github.com/dreamans/syncd
houndci,hound,1.9k,https://github.com/houndci/hound
fabric8io,fabric8,1.8k,https://github.com/fabric8io/fabric8
shivammathur,setup-php,1.8k,https://github.com/shivammathur/setup-php
lastbackend,lastbackend,1.5k,https://github.com/lastbackend/lastbackend
nuke-build,nuke,1.3k,https://github.com/nuke-build/nuke
FlowCI,flow-core-x,1.2k,https://github.com/FlowCI/flow-core-x
japaric,trust,1.1k,https://github.com/japaric/trust
k1LoW,tbls,1.1k,https://github.com/k1LoW/tbls
