username,repo_name,stars,repo_url
mrdoob,three.js,74.1k,https://github.com/mrdoob/three.js
libgdx,libgdx,18.9k,https://github.com/libgdx/libgdx
pmndrs,react-three-fiber,14.9k,https://github.com/pmndrs/react-three-fiber
BabylonJS,Babylon.js,14.8k,https://github.com/BabylonJS/Babylon.js
aframevr,aframe,13k,https://github.com/aframevr/aframe
ssloy,tinyrenderer,11.2k,https://github.com/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,11k,https://github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,9.8k,https://github.com/FreeCAD/FreeCAD
metafizzy,zdog,8.7k,https://github.com/metafizzy/zdog
CesiumGS,cesium,7.5k,https://github.com/CesiumGS/cesium
timzhang642,3D-Machine-Learning,7k,https://github.com/timzhang642/3D-Machine-Learning
a1studmuffin,SpaceshipGenerator,6.9k,https://github.com/a1studmuffin/SpaceshipGenerator
isl-org,Open3D,5.4k,https://github.com/isl-org/Open3D
spritejs,spritejs,4.6k,https://github.com/spritejs/spritejs
tensorspace-team,tensorspace,4.5k,https://github.com/tensorspace-team/tensorspace
jagenjo,webglstudio.js,4.4k,https://github.com/jagenjo/webglstudio.js
YadiraF,PRNet,4.4k,https://github.com/YadiraF/PRNet
AaronJackson,vrn,4.4k,https://github.com/AaronJackson/vrn
domlysz,BlenderGIS,4.3k,https://github.com/domlysz/BlenderGIS
openscad,openscad,4.2k,https://github.com/openscad/openscad
ssloy,tinyraytracer,3.9k,https://github.com/ssloy/tinyraytracer
mosra,magnum,3.6k,https://github.com/mosra/magnum
google,model-viewer,3.4k,https://github.com/google/model-viewer
blender,blender,3.3k,https://github.com/blender/blender
gfxfundamentals,webgl-fundamentals,3.2k,https://github.com/gfxfundamentals/webgl-fundamentals
cleardusk,3DDFA,3.1k,https://github.com/cleardusk/3DDFA
jasonlong,isometric-contributions,3k,https://github.com/jasonlong/isometric-contributions
rg3dengine,rg3d,2.7k,https://github.com/rg3dengine/rg3d
antvis,L7,2.4k,https://github.com/antvis/L7
cnr-isti-vclab,meshlab,2.4k,https://github.com/cnr-isti-vclab/meshlab
