username,repo_name,stars,repo_url
metafizzy,infinite-scroll,6.9k,https://github.com/metafizzy/infinite-scroll
ljianshu,Blog,6.7k,https://github.com/ljianshu/Blog
developit,unfetch,5.2k,https://github.com/developit/unfetch
jquery-form,form,5.1k,https://github.com/jquery-form/form
Studio-42,elFinder,4.1k,https://github.com/Studio-42/elFinder
olifolkerd,tabulator,4.1k,https://github.com/olifolkerd/tabulator
ded,reqwest,2.9k,https://github.com/ded/reqwest
dwyl,learn-to-send-email-via-google-script-html-no-server,2.6k,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
LeaVerou,bliss,2.3k,https://github.com/LeaVerou/bliss
elbywan,wretch,2.2k,https://github.com/elbywan/wretch
noelboss,featherlight,2k,https://github.com/noelboss/featherlight
wendux,Ajax-hook,1.8k,https://github.com/wendux/Ajax-hook
craftpip,jquery-confirm,1.7k,https://github.com/craftpip/jquery-confirm
ptaoussanis,sente,1.6k,https://github.com/ptaoussanis/sente
yisainan,web-interview,1.6k,https://github.com/yisainan/web-interview
joaomilho,Enterprise,1.5k,https://github.com/joaomilho/Enterprise
nette,tracy,1.4k,https://github.com/nette/tracy
u014427391,jeeplatform,1.3k,https://github.com/u014427391/jeeplatform
MoOx,pjax,1.2k,https://github.com/MoOx/pjax
loadingio,css-spinner,1.1k,https://github.com/loadingio/css-spinner
codingforentrepreneurs,eCommerce,1.1k,https://github.com/codingforentrepreneurs/eCommerce
danielm,uploader,1.1k,https://github.com/danielm/uploader
renderedtext,render_async,1k,https://github.com/renderedtext/render_async
swlib,saber,916,https://github.com/swlib/saber
webcreate,infinite-ajax-scroll,826,https://github.com/webcreate/infinite-ajax-scroll
opensource-socialnetwork,opensource-socialnetwork,780,https://github.com/opensource-socialnetwork/opensource-socialnetwork
proyecto26,RestClient,779,https://github.com/proyecto26/RestClient
rapidjs,rapid.js,705,https://github.com/rapidjs/rapid.js
csxiaoyaojianxian,JavaScriptStudy,560,https://github.com/csxiaoyaojianxian/JavaScriptStudy
cferdinandi,atomic,531,https://github.com/cferdinandi/atomic
