username,repo_name,stars,repo_url
serverless,serverless,40.7k,https://github.com/serverless/serverless
localstack,localstack,34k,https://github.com/localstack/localstack
donnemartin,data-science-ipython-notebooks,21.5k,https://github.com/donnemartin/data-science-ipython-notebooks
bregman-arie,devops-exercises,13.9k,https://github.com/bregman-arie/devops-exercises
ramitsurana,awesome-kubernetes,11.9k,https://github.com/ramitsurana/awesome-kubernetes
aws,aws-cli,11.4k,https://github.com/aws/aws-cli
kubernetes-sigs,kubespray,11.1k,https://github.com/kubernetes-sigs/kubespray
pulumi,pulumi,9.8k,https://github.com/pulumi/pulumi
donnemartin,awesome-aws,9.6k,https://github.com/donnemartin/awesome-aws
apereo,cas,8.9k,https://github.com/apereo/cas
aws-amplify,amplify-js,8.4k,https://github.com/aws-amplify/amplify-js
apex,up,8.3k,https://github.com/apex/up
aws,chalice,8.3k,https://github.com/aws/chalice
mozilla,sops,8.2k,https://github.com/mozilla/sops
aws,serverless-application-model,8.1k,https://github.com/aws/serverless-application-model
google,go-cloud,8k,https://github.com/google/go-cloud
cortexlabs,cortex,7.6k,https://github.com/cortexlabs/cortex
caprover,caprover,7.5k,https://github.com/caprover/caprover
aws,aws-cdk,7.4k,https://github.com/aws/aws-cdk
aws,aws-sdk-go,7.1k,https://github.com/aws/aws-sdk-go
angristan,openvpn-install,6.7k,https://github.com/angristan/openvpn-install
aws,aws-sdk-js,6.7k,https://github.com/aws/aws-sdk-js
boto,boto3,6.7k,https://github.com/boto/boto3
hashicorp,terraform-provider-aws,6.3k,https://github.com/hashicorp/terraform-provider-aws
awslabs,aws-shell,6.3k,https://github.com/awslabs/aws-shell
aws,amazon-sagemaker-examples,6k,https://github.com/aws/amazon-sagemaker-examples
aws,aws-sam-cli,5.7k,https://github.com/aws/aws-sam-cli
GoogleCloudPlatform,terraformer,5.6k,https://github.com/GoogleCloudPlatform/terraformer
gruntwork-io,terratest,5.5k,https://github.com/gruntwork-io/terratest
donnemartin,dev-setup,5.5k,https://github.com/donnemartin/dev-setup
