username,repo_name,stars,repo_url
flutter,flutter,129k,https://github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,82.7k,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,54k,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,45.8k,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,43.8k,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,41.2k,https://github.com/wasabeef/awesome-android-ui
square,okhttp,40.7k,https://github.com/square/okhttp
android,architecture-samples,39.4k,https://github.com/android/architecture-samples
square,retrofit,38.7k,https://github.com/square/retrofit
Solido,awesome-flutter,37.3k,https://github.com/Solido/awesome-flutter
PhilJay,MPAndroidChart,33.9k,https://github.com/PhilJay/MPAndroidChart
fastlane,fastlane,32.8k,https://github.com/fastlane/fastlane
shadowsocks,shadowsocks-android,31.8k,https://github.com/shadowsocks/shadowsocks-android
airbnb,lottie-android,31.7k,https://github.com/airbnb/lottie-android
bumptech,glide,31.7k,https://github.com/bumptech/glide
Trinea,android-open-project,30.7k,https://github.com/Trinea/android-open-project
Blankj,AndroidUtilCode,29.8k,https://github.com/Blankj/AndroidUtilCode
xitu,gold-miner,29.5k,https://github.com/xitu/gold-miner
bilibili,ijkplayer,29.4k,https://github.com/bilibili/ijkplayer
zxing,zxing,28.3k,https://github.com/zxing/zxing
codepath,android_guides,27.5k,https://github.com/codepath/android_guides
skylot,jadx,27.1k,https://github.com/skylot/jadx
square,leakcanary,26.6k,https://github.com/square/leakcanary
laurent22,joplin,25.2k,https://github.com/laurent22/joplin
alibaba,fastjson,23.7k,https://github.com/alibaba/fastjson
scwang90,SmartRefreshLayout,22.9k,https://github.com/scwang90/SmartRefreshLayout
CymChad,BaseRecyclerViewAdapterHelper,22.2k,https://github.com/CymChad/BaseRecyclerViewAdapterHelper
react-native-elements,react-native-elements,21.3k,https://github.com/react-native-elements/react-native-elements
google,iosched,20.8k,https://github.com/google/iosched
NativeScript,NativeScript,20.4k,https://github.com/NativeScript/NativeScript
