username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,82.7k,https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,76.3k,https://github.com/angular/angular
storybookjs,storybook,64.5k,https://github.com/storybookjs/storybook
ionic-team,ionic-framework,45.2k,https://github.com/ionic-team/ionic-framework
leonardomso,33-js-concepts,43.3k,https://github.com/leonardomso/33-js-concepts
prettier,prettier,40.5k,https://github.com/prettier/prettier
SheetJS,sheetjs,27.2k,https://github.com/SheetJS/sheetjs
angular,angular-cli,24.8k,https://github.com/angular/angular-cli
angular,components,22.1k,https://github.com/angular/components
NativeScript,NativeScript,20.4k,https://github.com/NativeScript/NativeScript
Eugeny,tabby,19.2k,https://github.com/Eugeny/tabby
jhipster,generator-jhipster,18.8k,https://github.com/jhipster/generator-jhipster
handsontable,handsontable,15.6k,https://github.com/handsontable/handsontable
teambit,bit,13.9k,https://github.com/teambit/bit
sweetalert2,sweetalert2,13.4k,https://github.com/sweetalert2/sweetalert2
goldbergyoni,javascript-testing-best-practices,13.1k,https://github.com/goldbergyoni/javascript-testing-best-practices
linnovate,mean,12.1k,https://github.com/linnovate/mean
coreui,coreui-free-bootstrap-admin-template,10.9k,https://github.com/coreui/coreui-free-bootstrap-admin-template
codesandbox,codesandbox-client,10.9k,https://github.com/codesandbox/codesandbox-client
PatrickJS,angular-starter,10.4k,https://github.com/PatrickJS/angular-starter
Chocobozzz,PeerTube,9.6k,https://github.com/Chocobozzz/PeerTube
angular,protractor,8.8k,https://github.com/angular/protractor
OnsenUI,OnsenUI,8.5k,https://github.com/OnsenUI/OnsenUI
nrwl,nx,8.3k,https://github.com/nrwl/nx
text-mask,text-mask,8.1k,https://github.com/text-mask/text-mask
PatrickJS,awesome-angular,8k,https://github.com/PatrickJS/awesome-angular
ng-bootstrap,ng-bootstrap,7.8k,https://github.com/ng-bootstrap/ng-bootstrap
NG-ZORRO,ng-zorro-antd,7.7k,https://github.com/NG-ZORRO/ng-zorro-antd
ag-grid,ag-grid,7.5k,https://github.com/ag-grid/ag-grid
dotansimha,graphql-code-generator,7.5k,https://github.com/dotansimha/graphql-code-generator
