username,repo_name,stars,repo_url
ansible,ansible,49.8k,https://github.com/ansible/ansible
StreisandEffect,streisand,22.5k,https://github.com/StreisandEffect/streisand
trailofbits,algo,21.4k,https://github.com/trailofbits/algo
bregman-arie,devops-exercises,13.9k,https://github.com/bregman-arie/devops-exercises
kubernetes-sigs,kubespray,11.1k,https://github.com/kubernetes-sigs/kubespray
ansible,awx,10.1k,https://github.com/ansible/awx
easzlab,kubeasz,7.3k,https://github.com/easzlab/kubeasz
geerlingguy,ansible-for-devops,4.9k,https://github.com/geerlingguy/ansible-for-devops
ansible-semaphore,semaphore,4.4k,https://github.com/ansible-semaphore/semaphore
rundeck,rundeck,4.3k,https://github.com/rundeck/rundeck
Tikam02,DevOps-Guide,3.9k,https://github.com/Tikam02/DevOps-Guide
geerlingguy,mac-dev-playbook,3.9k,https://github.com/geerlingguy/mac-dev-playbook
KubeOperator,KubeOperator,3.8k,https://github.com/KubeOperator/KubeOperator
ansible-community,molecule,3.2k,https://github.com/ansible-community/molecule
clong,DetectionLab,3k,https://github.com/clong/DetectionLab
opendevops-cn,opendevops,2.8k,https://github.com/opendevops-cn/opendevops
welliamcao,OpsManage,2.8k,https://github.com/welliamcao/OpsManage
werf,werf,2.6k,https://github.com/werf/werf
ansible-community,ansible-lint,2.6k,https://github.com/ansible-community/ansible-lint
netbootxyz,netboot.xyz,2.5k,https://github.com/netbootxyz/netboot.xyz
dev-sec,ansible-collection-hardening,2.4k,https://github.com/dev-sec/ansible-collection-hardening
alixaxel,chrome-aws-lambda,2.4k,https://github.com/alixaxel/chrome-aws-lambda
roots,trellis,2.3k,https://github.com/roots/trellis
litmuschaos,litmus,2.1k,https://github.com/litmuschaos/litmus
ansistrano,deploy,2.1k,https://github.com/ansistrano/deploy
openshift,openshift-ansible,2k,https://github.com/openshift/openshift-ansible
fboender,ansible-cmdb,2k,https://github.com/fboender/ansible-cmdb
pytest-dev,pytest-testinfra,1.9k,https://github.com/pytest-dev/pytest-testinfra
leucos,ansible-tuto,1.9k,https://github.com/leucos/ansible-tuto
Artemmkin,infrastructure-as-code-tutorial,1.9k,https://github.com/Artemmkin/infrastructure-as-code-tutorial
