username,repo_name,stars,repo_url
arendst,Tasmota,16.1k,https://github.com/arendst/Tasmota
rwaldron,johnny-five,12.4k,https://github.com/rwaldron/johnny-five
arduino,Arduino,12k,https://github.com/arduino/Arduino
MarlinFirmware,Marlin,11.8k,https://github.com/MarlinFirmware/Marlin
SpacehuhnTech,esp8266_deauther,8.9k,https://github.com/SpacehuhnTech/esp8266_deauther
tinygo-org,tinygo,8.5k,https://github.com/tinygo-org/tinygo
hybridgroup,gobot,7.3k,https://github.com/hybridgroup/gobot
espressif,arduino-esp32,7.2k,https://github.com/espressif/arduino-esp32
gurugio,lowlevelprogramming-university,7k,https://github.com/gurugio/lowlevelprogramming-university
bblanchon,ArduinoJson,5.3k,https://github.com/bblanchon/ArduinoJson
platformio,platformio-core,5.3k,https://github.com/platformio/platformio-core
tzapu,WiFiManager,4.8k,https://github.com/tzapu/WiFiManager
hybridgroup,cylon,3.8k,https://github.com/hybridgroup/cylon
Arduino-IRremote,Arduino-IRremote,3.3k,https://github.com/Arduino-IRremote/Arduino-IRremote
blynkkk,blynk-library,3.2k,https://github.com/blynkkk/blynk-library
NectarJS,nectarjs,3k,https://github.com/NectarJS/nectarjs
arduino,arduino-cli,3k,https://github.com/arduino/arduino-cli
gioblu,PJON,2.6k,https://github.com/gioblu/PJON
olikraus,u8g2,2.6k,https://github.com/olikraus/u8g2
1technophile,OpenMQTTGateway,2.3k,https://github.com/1technophile/OpenMQTTGateway
scottlawsonbc,audio-reactive-led-strip,2.1k,https://github.com/scottlawsonbc/audio-reactive-led-strip
isl-org,OpenBot,1.9k,https://github.com/isl-org/OpenBot
crankyoldgit,IRremoteESP8266,1.9k,https://github.com/crankyoldgit/IRremoteESP8266
Serial-Studio,Serial-Studio,1.9k,https://github.com/Serial-Studio/Serial-Studio
scottbez1,splitflap,1.8k,https://github.com/scottbez1/splitflap
nRF24,RF24,1.8k,https://github.com/nRF24/RF24
stm32duino,Arduino_Core_STM32,1.6k,https://github.com/stm32duino/Arduino_Core_STM32
ThingPulse,esp8266-oled-ssd1306,1.5k,https://github.com/ThingPulse/esp8266-oled-ssd1306
blinker-iot,blinker-library,1.5k,https://github.com/blinker-iot/blinker-library
Bodmer,TFT_eSPI,1.4k,https://github.com/Bodmer/TFT_eSPI
