username,repo_name,stars,repo_url
sindresorhus,awesome,168k,https://github.com/sindresorhus/awesome
vinta,awesome-python,102k,https://github.com/vinta/awesome-python
avelino,awesome-go,67.9k,https://github.com/avelino/awesome-go
awesome-selfhosted,awesome-selfhosted,63.4k,https://github.com/awesome-selfhosted/awesome-selfhosted
papers-we-love,papers-we-love,49.2k,https://github.com/papers-we-love/papers-we-love
trimstray,the-book-of-secret-knowledge,47.9k,https://github.com/trimstray/the-book-of-secret-knowledge
521xueweihan,HelloGitHub,46.6k,https://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,45.8k,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,45.4k,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,42.4k,https://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,42.3k,https://github.com/sindresorhus/awesome-nodejs
wasabeef,awesome-android-ui,41.2k,https://github.com/wasabeef/awesome-android-ui
vsouza,awesome-ios,38.2k,https://github.com/vsouza/awesome-ios
prakhar1989,awesome-courses,38k,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,37.3k,https://github.com/Solido/awesome-flutter
binhnguyennus,awesome-scalability,35.8k,https://github.com/binhnguyennus/awesome-scalability
MunGell,awesome-for-beginners,34.4k,https://github.com/MunGell/awesome-for-beginners
fffaraz,awesome-cpp,33.2k,https://github.com/fffaraz/awesome-cpp
tiimgreen,github-cheat-sheet,32.8k,https://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,32k,https://github.com/dypsilon/frontend-dev-bookmarks
akullpp,awesome-java,29.8k,https://github.com/akullpp/awesome-java
dkhamsing,open-source-ios-apps,28.1k,https://github.com/dkhamsing/open-source-ios-apps
brillout,awesome-react-components,27.9k,https://github.com/brillout/awesome-react-components
serhii-londar,open-source-mac-os-apps,26.9k,https://github.com/serhii-londar/open-source-mac-os-apps
ziadoz,awesome-php,25.7k,https://github.com/ziadoz/awesome-php
herrbischoff,awesome-macos-command-line,25.6k,https://github.com/herrbischoff/awesome-macos-command-line
goabstract,Awesome-Design-Tools,23.4k,https://github.com/goabstract/Awesome-Design-Tools
alebcay,awesome-shell,22.1k,https://github.com/alebcay/awesome-shell
sindresorhus,awesome-electron,21.9k,https://github.com/sindresorhus/awesome-electron
rust-unofficial,awesome-rust,21.7k,https://github.com/rust-unofficial/awesome-rust
