username,repo_name,stars,repo_url
ccxt,ccxt,20.9k,https://github.com/ccxt/ccxt
python-telegram-bot,python-telegram-bot,16.3k,https://github.com/python-telegram-bot/python-telegram-bot
hubotio,hubot,16k,https://github.com/hubotio/hubot
discordjs,discord.js,15.3k,https://github.com/discordjs/discord.js
timgrossmann,InstaPy,13.2k,https://github.com/timgrossmann/InstaPy
RasaHQ,rasa,12.6k,https://github.com/RasaHQ/rasa
gunthercox,ChatterBot,11.5k,https://github.com/gunthercox/ChatterBot
howdyai,botkit,10.4k,https://github.com/howdyai/botkit
botpress,botpress,9.3k,https://github.com/botpress/botpress
sfyc23,EverydayWechat,8.5k,https://github.com/sfyc23/EverydayWechat
leon-ai,leon,7.8k,https://github.com/leon-ai/leon
tgbot-collection,YYeTsBot,7.5k,https://github.com/tgbot-collection/YYeTsBot
EZFNDEV,EZFN-Lobbybot,6.9k,https://github.com/EZFNDEV/EZFN-Lobbybot
microsoft,ailab,6.7k,https://github.com/microsoft/ailab
microsoft,botframework-sdk,6.6k,https://github.com/microsoft/botframework-sdk
maxbbraun,trump2cash,6k,https://github.com/maxbbraun/trump2cash
yagop,node-telegram-bot-api,5.5k,https://github.com/yagop/node-telegram-bot-api
botman,botman,5.5k,https://github.com/botman/botman
deepmipt,DeepPavlov,5.4k,https://github.com/deepmipt/DeepPavlov
telegraf,telegraf,4.9k,https://github.com/telegraf/telegraf
axa-group,nlp.js,4.5k,https://github.com/axa-group/nlp.js
jef,streetmerchant,4.4k,https://github.com/jef/streetmerchant
ohld,igbot,4k,https://github.com/ohld/igbot
PokemonGoF,PokemonGo-Bot,3.7k,https://github.com/PokemonGoF/PokemonGo-Bot
Yoctol,bottender,3.7k,https://github.com/Yoctol/bottender
snipsco,snips-nlu,3.5k,https://github.com/snipsco/snips-nlu
pedroslopez,whatsapp-web.js,3.3k,https://github.com/pedroslopez/whatsapp-web.js
goq,telegram-list,3.2k,https://github.com/goq/telegram-list
orkestral,venom,3.1k,https://github.com/orkestral/venom
jesse-ai,jesse,3k,https://github.com/jesse-ai/jesse
