username,repo_name,stars,repo_url
Genymobile,scrcpy,54k,https://github.com/Genymobile/scrcpy
neovim,neovim,46.9k,https://github.com/neovim/neovim
git,git,39.3k,https://github.com/git/git
fffaraz,awesome-cpp,33.2k,https://github.com/fffaraz/awesome-cpp
obsproject,obs-studio,30.7k,https://github.com/obsproject/obs-studio
serhii-londar,open-source-mac-os-apps,26.9k,https://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,26k,https://github.com/FFmpeg/FFmpeg
vim,vim,24.7k,https://github.com/vim/vim
ggreer,the_silver_searcher,22.5k,https://github.com/ggreer/the_silver_searcher
curl,curl,21.7k,https://github.com/curl/curl
huihut,interview,20.3k,https://github.com/huihut/interview
ruby,ruby,18.4k,https://github.com/ruby/ruby
google,flatbuffers,16.7k,https://github.com/google/flatbuffers
mpv-player,mpv,15.9k,https://github.com/mpv-player/mpv
oracle,graal,15.9k,https://github.com/oracle/graal
pbatard,rufus,15.8k,https://github.com/pbatard/rufus
radareorg,radare2,14.9k,https://github.com/radareorg/radare2
shadowsocks,shadowsocks-libev,14.5k,https://github.com/shadowsocks/shadowsocks-libev
allinurl,goaccess,13.7k,https://github.com/allinurl/goaccess
microsoft,vcpkg,13.6k,https://github.com/microsoft/vcpkg
vurtun,nuklear,13.3k,https://github.com/vurtun/nuklear
facebook,infer,12.5k,https://github.com/facebook/infer
jarun,nnn,12.2k,https://github.com/jarun/nnn
kovidgoyal,kitty,12.1k,https://github.com/kovidgoyal/kitty
CoatiSoftware,Sourcetrail,11.8k,https://github.com/CoatiSoftware/Sourcetrail
s-matyukevich,raspberry-pi-os,10.7k,https://github.com/s-matyukevich/raspberry-pi-os
hashcat,hashcat,10.5k,https://github.com/hashcat/hashcat
qmk,qmk_firmware,10.4k,https://github.com/qmk/qmk_firmware
jonas,tig,10.3k,https://github.com/jonas/tig
TheAlgorithms,C,10.1k,https://github.com/TheAlgorithms/C
