username,repo_name,stars,repo_url
metabase,metabase,25.9k,https://github.com/metabase/metabase
eclipse,deeplearning4j,12.2k,https://github.com/eclipse/deeplearning4j
LightTable,LightTable,11.6k,https://github.com/LightTable/LightTable
kanaka,mal,8.1k,https://github.com/kanaka/mal
lk-geimfari,awesomo,8k,https://github.com/lk-geimfari/awesomo
logseq,logseq,5.8k,https://github.com/logseq/logseq
penpot,penpot,4.8k,https://github.com/penpot/penpot
tonsky,datascript,4.3k,https://github.com/tonsky/datascript
reagent-project,reagent,4.3k,https://github.com/reagent-project/reagent
riemann,riemann,4.1k,https://github.com/riemann/riemann
weavejester,compojure,3.9k,https://github.com/weavejester/compojure
bbatsov,clojure-style-guide,3.7k,https://github.com/bbatsov/clojure-style-guide
izhangzhihao,intellij-rainbow-brackets,3.6k,https://github.com/izhangzhihao/intellij-rainbow-brackets
ring-clojure,ring,3.3k,https://github.com/ring-clojure/ring
status-im,status-react,3.2k,https://github.com/status-im/status-react
clojure-emacs,cider,3.2k,https://github.com/clojure-emacs/cider
bhauman,lein-figwheel,2.9k,https://github.com/bhauman/lein-figwheel
tallesl,Rich-Hickey-fanclub,2.8k,https://github.com/tallesl/Rich-Hickey-fanclub
viebel,klipse,2.8k,https://github.com/viebel/klipse
twosigma,beakerx,2.6k,https://github.com/twosigma/beakerx
pedestal,pedestal,2.4k,https://github.com/pedestal/pedestal
weavejester,hiccup,2.3k,https://github.com/weavejester/hiccup
razum2um,awesome-clojure,2.2k,https://github.com/razum2um/awesome-clojure
http-kit,http-kit,2.2k,https://github.com/http-kit/http-kit
babashka,babashka,2.2k,https://github.com/babashka/babashka
onyx-platform,onyx,2k,https://github.com/onyx-platform/onyx
anmonteiro,lumo,1.8k,https://github.com/anmonteiro/lumo
defold,defold,1.8k,https://github.com/defold/defold
boot-clj,boot,1.7k,https://github.com/boot-clj/boot
ptaoussanis,sente,1.6k,https://github.com/ptaoussanis/sente
