username,repo_name,stars,repo_url
facebook,infer,12.5k,https://github.com/facebook/infer
analysis-tools-dev,static-analysis,8.9k,https://github.com/analysis-tools-dev/static-analysis
checkstyle,checkstyle,6.2k,https://github.com/checkstyle/checkstyle
SonarSource,sonarqube,6.1k,https://github.com/SonarSource/sonarqube
facebook,pyre-check,5.6k,https://github.com/facebook/pyre-check
Kristories,awesome-guidelines,5.4k,https://github.com/Kristories/awesome-guidelines
simplecov-ruby,simplecov,4.3k,https://github.com/simplecov-ruby/simplecov
reviewdog,reviewdog,4.2k,https://github.com/reviewdog/reviewdog
phpro,grumphp,3.6k,https://github.com/phpro/grumphp
PyCQA,pylint,3.5k,https://github.com/PyCQA/pylint
pmd,pmd,3.5k,https://github.com/pmd/pmd
htmlhint,HTMLHint,2.7k,https://github.com/htmlhint/HTMLHint
kucherenko,jscpd,2.2k,https://github.com/kucherenko/jscpd
codeclimate,codeclimate,2.2k,https://github.com/codeclimate/codeclimate
trekhleb,state-of-the-art-shitcode,2k,https://github.com/trekhleb/state-of-the-art-shitcode
uber,piranha,1.8k,https://github.com/uber/piranha
wemake-services,wemake-python-styleguide,1.6k,https://github.com/wemake-services/wemake-python-styleguide
ehmicky,cross-platform-node-guide,1.2k,https://github.com/ehmicky/cross-platform-node-guide
urish,typewiz,1.1k,https://github.com/urish/typewiz
Tencent,feflow,1k,https://github.com/Tencent/feflow
jakzal,phpqa,935,https://github.com/jakzal/phpqa
joshuaclayton,unused,877,https://github.com/joshuaclayton/unused
imgbot,Imgbot,800,https://github.com/imgbot/Imgbot
SonarSource,SonarTS,773,https://github.com/SonarSource/SonarTS
pdepend,pdepend,766,https://github.com/pdepend/pdepend
bufferapp,android-guidelines,759,https://github.com/bufferapp/android-guidelines
SonarSource,SonarJS,747,https://github.com/SonarSource/SonarJS
sourcery-ai,sourcery,618,https://github.com/sourcery-ai/sourcery
maglnet,ComposerRequireChecker,599,https://github.com/maglnet/ComposerRequireChecker
grodowski,undercover,587,https://github.com/grodowski/undercover
