username,repo_name,stars,repo_url
vercel,next.js,73k,https://github.com/vercel/next.js
webpack,webpack,59.2k,https://github.com/webpack/webpack
rust-lang,rust,58.5k,https://github.com/rust-lang/rust
gatsbyjs,gatsby,51.2k,https://github.com/gatsbyjs/gatsby
sveltejs,svelte,50.1k,https://github.com/sveltejs/svelte
babel,babel,39.6k,https://github.com/babel/babel
parcel-bundler,parcel,38.8k,https://github.com/parcel-bundler/parcel
JetBrains,kotlin,38.6k,https://github.com/JetBrains/kotlin
evanw,esbuild,27k,https://github.com/evanw/esbuild
markedjs,marked,25.8k,https://github.com/markedjs/marked
vlang,v,25.3k,https://github.com/vlang/v
vercel,pkg,18.7k,https://github.com/vercel/pkg
v8,v8,18.2k,https://github.com/v8/v8
swc-project,swc,14.9k,https://github.com/swc-project/swc
AssemblyScript,assemblyscript,12.6k,https://github.com/AssemblyScript/assemblyscript
Konloch,bytecode-viewer,12.4k,https://github.com/Konloch/bytecode-viewer
nim-lang,Nim,11.8k,https://github.com/nim-lang/Nim
gopherjs,gopherjs,10.4k,https://github.com/gopherjs/gopherjs
ziglang,zig,10.3k,https://github.com/ziglang/zig
compiler-explorer,compiler-explorer,9.3k,https://github.com/compiler-explorer/compiler-explorer
apache,tvm,7.1k,https://github.com/apache/tvm
JetBrains,kotlin-native,7.1k,https://github.com/JetBrains/kotlin-native
numba,numba,6.8k,https://github.com/numba/numba
elm,compiler,6.6k,https://github.com/elm/compiler
aalhour,awesome-compilers,6.2k,https://github.com/aalhour/awesome-compilers
Nuitka,Nuitka,5.8k,https://github.com/Nuitka/Nuitka
DoctorWkt,acwj,5.6k,https://github.com/DoctorWkt/acwj
rescript-lang,rescript-compiler,5.5k,https://github.com/rescript-lang/rescript-compiler
lebab,lebab,5.4k,https://github.com/lebab/lebab
enso-org,enso,5k,https://github.com/enso-org/enso
